"序号","代码","名称","涨跌幅","最新价","成交额","流通市值","总市值","换手率","封板资金","首次封板时间","最后封板时间","炸板次数","涨停统计","连板数","所属行业","交易日期","数据类型","动态市盈率","封单资金","板上成交额","连续跌停","开板次数","涨停价","涨速","振幅"
"18","300350","华鹏飞","20.033668518066406","7.13","522385232","3362261423.21","4007147499.36","15.849699020385742","76099630.0","093203","093203","0.0","1|1","1.0","物流行业","2025-04-22","涨停","","","","","","","",""
"19","600571","信雅达","10.031152725219727","17.66","1260664672","8083895074.9800005","8235181248.64","15.837010383605957","94915224.0","093203","094857","1.0","2|2","2.0","互联网服","2025-04-22","涨停","","","","","","","",""
"20","600644","乐山电力","10.034013748168945","12.94","1800138160","6966904527.46","7483471359.04","26.536697387695312","12639779.0","093250","145541","3.0","11|7","2.0","电力行业","2025-04-22","涨停","","","","","","","",""
"21","603535","嘉诚国际","10.010649681091309","10.33","338662624","4934530448.34","5277730546.24","6.926237106323242","40110460.0","093253","100444","1.0","1|1","1.0","物流行业","2025-04-22","涨停","","","","","","","",""
"22","603128","华贸物流","9.956709861755371","7.62","1976227984","9974934284.28","9974934299.52","20.04697036743164","56034432.0","093411","143047","5.0","6|4","1.0","物流行业","2025-04-22","涨停","","","","","","","",""
"23","001212","中旗新材","9.998127937316895","58.75","487395296","6344640920.0","7468713835.0","7.895521640777588","119246872.0","093436","093624","1.0","15|9","2.0","装修装饰","2025-04-22","涨停","","","","","","","",""
"24","000957","中通客车","9.961315155029297","11.37","538435792","6741317752.32","6741317752.32","8.071088790893555","30031581.0","093457","095945","1.0","1|1","1.0","汽车整车","2025-04-22","涨停","","","","","","","",""
"25","002910","庄园牧场","10.051281929016113","10.73","180945587","1835494723.5","2098137193.3100002","10.10859203338623","55071725.0","093636","093636","0.0","1|1","1.0","食品饮料","2025-04-22","涨停","","","","","","","",""
"26","300531","优博讯","20.0","15.18","304321184","4783461456.84","4977460065.6","6.568875312805176","43837866.0","093706","093706","0.0","1|1","1.0","计算机设","2025-04-22","涨停","","","","","","","",""
"27","603123","翠微股份","9.975961685180664","9.15","399960608","5968324933.35","7308440548.8","6.811593532562256","33633240.0","093711","093711","0.0","1|1","1.0","多元金融","2025-04-22","涨停","","","","","","","",""
"28","000670","盈方微","10.06289291381836","7.0","361550480","5054746984.0","5876425520.0","7.3550825119018555","129612700.0","093806","093806","0.0","1|1","1.0","半导体","2025-04-22","涨停","","","","","","","",""
"29","001316","润贝航科","10.005364418029785","41.01","432457904","1115769322.5","3381684600.0","39.66106414794922","15495792.0","093903","140006","3.0","4|3","2.0","贸易行业","2025-04-22","涨停","","","","","","","",""
"30","600105","永鼎股份","10.035842895507812","6.14","808663888","8976648084.279999","8976648072.0","9.10563850402832","114250854.0","094156","094156","0.0","1|1","1.0","通信设备","2025-04-22","涨停","","","","","","","",""
"31","300237","美晨科技","20.289854049682617","1.66","241475022","2393556373.7999997","2393578780.48","10.309666633605957","18585227.0","094312","101909","6.0","1|1","1.0","汽车零部","2025-04-22","涨停","","","","","","","",""
"32","002702","海欣食品","10.0","4.62","213072493","2133977884.5","2567611200.0","10.274405479431152","78757384.0","094339","094339","0.0","1|1","1.0","食品饮料","2025-04-22","涨停","","","","","","","",""
"33","603351","威尔药业","10.0","29.04","269152816","3933152393.2799997","3933152393.2799997","7.056619167327881","14818153.0","094438","110156","2.0","3|3","3.0","化学制药","2025-04-22","涨停","","","","","","","",""
"34","002678","珠江钢琴","10.0","4.84","172242553","6570660328.32","6581472268.8","2.662290334701538","9531397.0","094545","145227","1.0","1|1","1.0","家用轻工","2025-04-22","涨停","","","","","","","",""
"35","002565","顺灏股份","10.119048118591309","3.7","365771008","3921834136.4","3921959033.6000004","9.578093528747559","45641938.0","094715","094715","0.0","2|2","2.0","包装材料","2025-04-22","涨停","","","","","","","",""
"36","003029","吉大正元","9.995027542114258","22.12","210921944","3779037006.92","4282879421.2400002","5.68588924407959","53397680.0","095057","100303","1.0","1|1","1.0","软件开发","2025-04-22","涨停","","","","","","","",""
"37","600668","尖峰集团","9.972298622131348","11.91","297250560","4098038391.48","4098038343.84","7.337989807128906","24738249.0","095102","100702","1.0","1|1","1.0","水泥建材","2025-04-22","涨停","","","","","","","",""
"38","600278","东方创业","10.077519416809082","7.1","255791836","6190600454.7","6232170976.0","4.2313761711120605","30851871.0","095205","095205","0.0","1|1","1.0","贸易行业","2025-04-22","涨停","","","","","","","",""
"39","001395","亚联机械","10.0","58.63","618784688","1130996386.52","5114881200.0","56.823974609375","60329097.0","095236","095915","5.0","6|5","1.0","专用设备","2025-04-22","涨停","","","","","","","",""
"40","000617","中油资本","10.027854919433594","7.9","2998448128","99872424724.1","99872423910.40001","3.10368013381958","392525419.0","095309","095309","0.0","1|1","1.0","多元金融","2025-04-22","涨停","","","","","","","",""
"41","002095","生 意 宝","9.977827072143555","19.84","492544320","4993894953.6","5013964800.0","10.244847297668457","81849920.0","095457","095457","0.0","2|2","2.0","互联网服","2025-04-22","涨停","","","","","","","",""
"42","600790","轻纺城","9.883721351623535","3.78","119838279","5540689707.84","5540689707.84","2.226388454437256","40224741.0","100029","100029","0.0","1|1","1.0","商业百货","2025-04-22","涨停","","","","","","","",""
"43","002564","天沃科技","10.019646644592285","5.6","1058703120","4807128149.599999","4809865088.0","23.000242233276367","5848018.0","100536","144951","5.0","6|4","1.0","专业服务","2025-04-22","涨停","","","","","","","",""
"44","600866","星湖科技","10.041841506958008","7.89","923353664","8752960536.51","13109019003.359999","10.64983081817627","55752964.0","100737","103537","1.0","1|1","1.0","化学制品","2025-04-22","涨停","","","","","","","",""
"45","601008","连云港","10.074626922607422","5.9","1102389952","7319764235.400001","7319764200.0","15.457508087158203","77564350.0","101049","101210","1.0","13|8","1.0","航运港口","2025-04-22","涨停","","","","","","","",""
"46","001209","洪兴股份","9.97581672668457","18.19","118595503","1747961428.8400002","2392398276.8","7.019687175750732","63822107.0","101215","101215","0.0","1|1","1.0","纺织服装","2025-04-22","涨停","","","","","","","",""
"47","600227","赤天化","10.096153259277344","2.29","163482695","2925703548.87","3867186387.2000003","5.755957126617432","20004663.0","102550","102550","0.0","1|1","1.0","化肥行业","2025-04-22","涨停","","","","","","","",""
"48","603178","圣龙股份","9.993868827819824","17.94","170180870","4241229145.1400003","4241229145.1400003","4.129487991333008","33373782.0","102751","102751","0.0","1|1","1.0","汽车零部","2025-04-22","涨停","","","","","","","",""
"49","300995","奇德新材","19.993057250976562","34.57","333878464","2070908279.17","2909411200.0","17.4209041595459","64563243.0","102857","102857","0.0","1|1","1.0","塑料制品","2025-04-22","涨停","","","","","","","",""
"50","838163","方大新材","29.944547653198242","21.09","337545312","1294450104.15","2714602724.4","28.644786834716797","9562206.0","103321","145618","2.0","1|1","1.0","包装材料","2025-04-22","涨停","","","","","","","",""
"51","003042","中农联合","9.992961883544922","15.63","139531236","1990726594.3500001","2226962400.0","7.123888969421387","31115735.0","105009","105009","0.0","1|1","1.0","农药兽药","2025-04-22","涨停","","","","","","","",""
"52","603029","天鹅股份","10.017472267150879","18.89","254793226","2292150380.0","2292150380.0","11.36943531036377","23187475.0","105346","110449","2.0","1|1","1.0","专用设备","2025-04-22","涨停","","","","","","","",""
"53","605033","美邦股份","10.023175239562988","18.99","234612243","2567448000.0","2567448000.0","9.326533317565918","27155700.0","110434","132052","2.0","1|1","1.0","农药兽药","2025-04-22","涨停","","","","","","","",""
"54","002552","宝鼎科技","10.036630630493164","15.02","195231557","4809911615.92","6136301320.639999","4.254830360412598","49555455.0","112736","112736","0.0","1|1","1.0","通用设备","2025-04-22","涨停","","","","","","","",""
"55","000017","深中华A","9.934853553771973","6.75","268965696","2045148513.75","4651998264.0","13.736727714538574","78716407.0","112951","112951","0.0","1|1","1.0","珠宝首饰","2025-04-22","涨停","","","","","","","",""
"56","002672","东江环保","10.025707244873047","4.28","33975701","3873906332.5600004","4730494858.240001","0.9117648005485535","26849296.0","130048","130048","0.0","1|1","1.0","环保行业","2025-04-22","涨停","","","","","","","",""
"57","603067","振华股份","9.982983589172363","19.39","452075280","9869971520.78","9869971637.12","4.702882766723633","28301663.0","130210","130210","0.0","1|1","1.0","化学原料","2025-04-22","涨停","","","","","","","",""
"58","002549","凯美特气","9.989484786987305","10.46","1270778592","7242080641.960001","7273339075.84","18.487354278564453","104608368.0","130600","130600","0.0","1|1","1.0","化学制品","2025-04-22","涨停","","","","","","","",""
"59","601515","东峰集团","10.0","3.74","402817088","7010338014.46","7010338040.64","5.93010139465332","35230717.0","130749","141635","1.0","1|1","1.0","包装材料","2025-04-22","涨停","","","","","","","",""
"60","600876","凯盛新能","10.044642448425293","9.86","103668072","3901355135.18","6366355105.599999","2.7157483100891113","3623550.0","131443","134934","4.0","1|1","1.0","光伏设备","2025-04-22","涨停","","","","","","","",""
"61","002695","煌上煌","9.97008991241455","11.03","228731416","5639664413.12","6170546254.719999","4.258739471435547","66834818.0","131624","131624","0.0","1|1","1.0","食品饮料","2025-04-22","涨停","","","","","","","",""
"62","002584","西陇科学","10.054054260253906","10.18","1158907536","4402761138.78","5957503114.88","28.389942169189453","131783581.0","131930","131930","0.0","4|2","1.0","电子化学","2025-04-22","涨停","","","","","","","",""
"63","002627","三峡旅游","10.018552780151367","5.93","447538048","4252782176.06","4296886159.679999","10.796976089477539","40430010.0","133100","134100","1.0","1|1","1.0","旅游酒店","2025-04-22","涨停","","","","","","","",""
"64","601086","国芳集团","10.023492813110352","14.05","1018425520","9357300000.0","9357300000.0","11.243932723999023","67588930.0","133149","133149","0.0","13|12","5.0","商业百货","2025-04-22","涨停","","","","","","","",""
"65","603676","卫信康","10.030394554138184","10.86","100203086","4725853890.0","4725853933.44","2.19437575340271","6593106.0","133325","133325","0.0","1|1","1.0","化学制药","2025-04-22","涨停","","","","","","","",""
"66","301258","富士莱","20.008251190185547","29.09","282975552","985336480.0","2666680300.0","30.404537200927734","44158620.0","133606","133606","0.0","1|1","1.0","化学制药","2025-04-22","涨停","","","","","","","",""
"67","002907","华森制药","10.030394554138184","14.48","146175521","4472699398.400001","6046794713.6","3.4149913787841797","79296824.0","133627","133627","0.0","1|1","1.0","中药","2025-04-22","涨停","","","","","","","",""
"68","002317","众生药业","10.037175178527832","11.84","746356272","9017550087.039999","10082428723.2","8.494790077209473","120183340.0","133736","133736","0.0","1|1","1.0","中药","2025-04-22","涨停","","","","","","","",""
"69","002915","中欣氟材","9.991876602172852","13.54","234124649","3903668317.4999995","4406841702.719999","6.242015838623047","53791170.0","133951","133951","0.0","1|1","1.0","化学制品","2025-04-22","涨停","","","","","","","",""
"70","002165","红 宝 丽","10.008271217346191","13.3","4127813200","9677472296.800001","9779088872.0","44.104522705078125","104995520.0","134054","135845","2.0","13|7","1.0","化学制品","2025-04-22","涨停","","","","","","","",""
"71","603696","安记食品","10.029282569885254","15.03","822779232","3535056000.0","3535056000.0","25.223125457763672","71620956.0","135013","141231","5.0","6|6","6.0","食品饮料","2025-04-22","涨停","","","","","","","",""
"72","600787","中储股份","10.082645416259766","6.66","1012252288","14452730016.12","14485184156.16","7.27140998840332","113173380.0","135722","135722","0.0","1|1","1.0","物流行业","2025-04-22","涨停","","","","","","","",""
"73","600939","重庆建工","9.854015350341797","3.01","161348363","5724416341.49","5724416362.559999","2.9284608364105225","21071806.0","140050","140405","2.0","4|2","1.0","工程建设","2025-04-22","涨停","","","","","","","",""
"74","600738","丽尚国潮","10.035211563110352","6.25","708874512","4754163725.0","4758345200.0","15.937215805053711","86236243.0","141130","141130","0.0","1|1","1.0","商业百货","2025-04-22","涨停","","","","","","","",""
"75","600370","三房巷","9.782608985900879","2.02","229774030","7871176670.28","7871176666.24","3.066288471221924","11474700.0","141218","150000","3.0","2|2","2.0","化学制品","2025-04-22","涨停","","","","","","","",""
"76","600501","航天晨光","9.97706413269043","19.18","513743296","8143798271.0","8270569440.0","6.532921314239502","44380602.0","142749","144343","1.0","1|1","1.0","专用设备","2025-04-22","涨停","","","","","","","",""
"77","002809","红墙股份","9.96204948425293","11.59","639754288","1596350423.27","2436554295.44","43.51284408569336","8609167.0","142827","143645","5.0","4|4","4.0","化学制品","2025-04-22","涨停","","","","","","","",""
"78","603697","有友食品","10.0","13.75","473914128","5880766347.5","5880766320.0","8.69264030456543","2717055.0","144554","145624","6.0","2|2","2.0","食品饮料","2025-04-22","涨停","","","","","","","",""
"79","000691","亚太实业","10.037175178527832","2.96","77570079","956879200.0","956879200.0","8.876449584960938","7938128.0","145112","145112","0.0","1|1","1.0","化学制品","2025-04-22","涨停","","","","","","","",""
"80","300773","拉卡拉","20.0093936920166","25.55","4780071168","18762259582.15","20135507772.8","27.214601516723633","271392151.0","145530","145530","0.0","1|1","1.0","软件开发","2025-04-22","涨停","","","","","","","",""
"81","300920","润阳科技","19.991756439208984","29.11","289296864","1872053183.75","2911000000.0","16.937334060668945","71948276.0","145627","145627","0.0","1|1","1.0","塑料制品","2025-04-22","涨停","","","","","","","",""
"1","002492","恒基达鑫","5.263157844543457","5.6","428684912","2227874460.0","2268000000.0","18.64913558959961","","093027","","3.0","0|0","","物流行业","2025-04-22","炸板","","","","","","5.85","0.0","6.954887390136719"
"2","600490","鹏欣资源","5.578512191772461","5.11","1620160848","10182295282.460001","11307852937.92","15.768611907958984","","093038","","2.0","2|1","","有色金属","2025-04-22","炸板","","","","","","5.32","0.3929273188114166","6.611569881439209"
"3","000679","大连友谊","7.014682292938232","6.56","252168542","2337984000.0","2337984000.0","10.653779983520508","","093154","","1.0","0|0","","商业百货","2025-04-22","炸板","","","","","","6.74","0.0","8.809135437011719"
"4","600389","江山股份","7.9922027587890625","16.62","466769888","7157403000.0","7157403000.0","6.532106399536133","","093259","","1.0","0|0","","农药兽药","2025-04-22","炸板","","","","","","16.93","-0.06013229116797447","4.873294353485107"
"5","603836","海程邦达","6.203288555145264","14.21","214407602","2916392717.77","2916392717.77","7.310120582580566","","093349","","1.0","0|0","","物流行业","2025-04-22","炸板","","","","","","14.72","-0.07032348960638046","9.865470886230469"
"6","600822","上海物贸","7.651434898376465","10.13","403896608","4012978308.0400004","5024205598.56","10.050400733947754","","093651","","1.0","0|0","","汽车服务","2025-04-22","炸板","","","","","","10.35","0.0988142341375351","7.120084762573242"
"7","000639","西王食品","2.7863776683807373","3.32","688782208","3583695140.04","3583701278.72","18.8408260345459","","094403","","1.0","2|1","","食品饮料","2025-04-22","炸板","","","","","","3.55","0.0","9.59752368927002"
"8","600778","友好集团","5.467626094818115","7.33","548616272","2281205085.06","2283231668.8","23.89595603942871","","094559","","2.0","0|0","","商业百货","2025-04-22","炸板","","","","","","7.65","0.0","10.791366577148438"
"9","002843","泰嘉股份","2.6258206367492676","23.45","739654320","5881085578.9","5958916128.9","12.242765426635742","","094748","","1.0","0|0","","消费电子","2025-04-22","炸板","","","","","","25.14","-0.08521516621112823","8.40262508392334"
"10","603186","华正新材","4.260758399963379","24.47","378269648","3475034300.69","3475034300.69","10.681931495666504","","094755","","1.0","0|0","","电子元件","2025-04-22","炸板","","","","","","25.82","-0.12244897335767746","6.518960952758789"
"11","600648","外高桥","6.239737033843994","12.94","516791344","12096203614.56","14691417612.8","4.1969990730285645","","100835","","10.0","0|0","","房地产开","2025-04-22","炸板","","","","","","13.4","0.0","9.031198501586914"
"12","000514","渝 开 发","4.662004470825195","4.49","556681680","3788531632.8500004","3788531610.4","14.44532585144043","","101533","","3.0","4|2","","房地产开","2025-04-22","炸板","","","","","","4.72","0.0","12.3543119430542"
"13","002510","天汽模","6.533575057983398","5.87","817805312","5898451573.02","5958864192.4800005","13.763470649719238","","101815","","1.0","0|0","","汽车零部","2025-04-22","炸板","","","","","","6.06","0.0","10.707803726196289"
"14","002719","麦趣尔","4.042552947998047","9.78","696306464","1583111045.1","1703083889.4599998","43.34119415283203","","101954","","2.0","6|3","","食品饮料","2025-04-22","炸板","","","","","","10.34","0.0","12.340425491333008"
"15","603682","锦和商管","5.234656810760498","5.83","403570864","2754675000.0","2754675000.0","14.49418830871582","","103027","","1.0","0|0","","房地产服","2025-04-22","炸板","","","","","","6.09","-0.17123287916183472","10.288808822631836"
"16","002228","合兴包装","4.635761737823486","3.16","206187072","3765064052.56","3777906046.0800004","5.392845630645752","","103630","","1.0","0|0","","包装材料","2025-04-22","炸板","","","","","","3.32","-0.31545743346214294","9.933774948120117"
"17","603060","国检集团","5.438066482543945","6.98","194225467","5611421272.02","5611421237.12","3.414421319961548","","104037","","1.0","0|0","","专业服务","2025-04-22","炸板","","","","","","7.28","0.431654691696167","10.271903038024902"
"18","000510","新金路","6.457564353942871","5.77","1303821824","3500455994.0899997","3742096479.68","37.747528076171875","","105242","","2.0","8|5","","化学原料","2025-04-22","炸板","","","","","","5.96","0.5226480960845947","11.808117866516113"
"19","002574","明牌珠宝","7.340946197509766","6.58","644039760","3474240000.0","3474240000.0","18.892797470092773","","110300","","1.0","0|0","","珠宝首饰","2025-04-22","炸板","","","","","","6.74","-0.15174506604671478","12.071778297424316"
"20","605358","立昂微","9.953409194946289","25.96","1119227632","17428659490.88","17428659698.56","6.664976119995117","","130838","","2.0","2|1","","半导体","2025-04-22","炸板","","","","","","25.97","0.0","9.487504959106445"
"21","600838","上海九百","5.1194539070129395","9.24","505179888","3704149504.44","3704149532.16","13.654609680175781","","141516","","1.0","0|0","","商业百货","2025-04-22","炸板","","","","","","9.67","0.0","10.921501159667969"
"1","605158","华达新材","-9.944133758544922","8.06","253385162","4122045200.0000005","4122045200.0000005","6.109821796417236","","","150000","","","","钢铁行业","2025-04-22","跌停","17.968252182006836","125091.0","216298560.0","1.0","9.0","","",""
"2","603613","国联股份","-10.01120662689209","24.09","818748240","17357755915.17","17357755794.72","4.605798721313477","","","141828","","","","互联网服","2025-04-22","跌停","16.089216232299805","7080364.0","70748595.0","1.0","1.0","","",""
"3","002211","宏达新材","-10.130719184875488","2.75","38052025","1189308392.25","1189308384.0","3.1995086669921875","","","092500","","","","化学制品","2025-04-22","跌停","-49.400901794433594","39804272.0","161789925.0","2.0","0.0","","",""
"4","000668","荣丰控股","-9.981851577758789","4.96","11154544","728335774.4","728335774.4","1.5315111875534058","","","092500","","","","房地产开","2025-04-22","跌停","-15.911755561828613","41662695.0","134143200.0","2.0","0.0","","",""
"5","002837","英维克","-9.985486030578613","31.01","1188554416","20071715310.920002","23085909017.920002","5.885470867156982","","","111403","","","","专用设备","2025-04-22","跌停","120.21287536621094","48279655.0","383152974.0","1.0","19.0","","",""
"6","603922","金鸿顺","-10.015022277832031","17.97","79050594","3220224000.0","3220224000.0","2.4368860721588135","","","093216","","","","汽车零部","2025-04-22","跌停","-155.13015747070312","68019702.0","39289967.0","2.0","0.0","","",""
"7","000638","万方发展","-10.065646171569824","4.11","20337924","1274698420.1100001","1279798695.8400002","1.5955086946487427","","","092500","","","","农牧饲渔","2025-04-22","跌停","72.19742584228516","130768794.0","149697708.0","2.0","0.0","","",""
"8","000504","南华生物","-9.988901138305664","8.11","7046779","2519523165.1099997","2676487373.4399996","0.2796870172023773","","","092500","","","","医疗服务","2025-04-22","跌停","-238.66644287109375","186867789.0","41966006.0","1.0","0.0","","",""
"9","002231","奥维通信","-10.060362815856934","4.47","15914094","1317839888.49","1550419571.52","1.2075893878936768","","","092500","","","","通信服务","2025-04-22","跌停","-63.73541259765625","213584547.0","123596394.0","1.0","0.0","","",""
"10","600610","中毅达","-10.0","10.8","950579280","7654248414.000001","11569765766.400002","12.129467010498047","","","095527","","","","化学原料","2025-04-22","跌停","-821.4915161132812","298162944.0","6099975000.0","1.0","0.0","","",""
"11","002076","星光股份","-9.964412689208984","2.53","43349020","2614125611.8999996","2806084974.8799996","1.6582608222961426","","","092500","","","","家电行业","2025-04-22","跌停","-1027.0924072265625","432783267.0","302081747.0","1.0","0.0","","",""
"12","002693","双成药业","-9.991532325744629","10.63","49794109","4372991680.4800005","4408151978.72","1.1386737823486328","","","092500","","","","生物制品","2025-04-22","跌停","-87.37621307373047","556841197.0","332672228.0","2.0","0.0","","",""
"1","002194","武汉凡谷","10.0","12.65","151305891","6462821433.75","8643565471.2","2.3411738872528076","264390566.0","092500","092500","0.0","2|2","2.0","通信设备","2025-04-21","涨停","","","","","","","",""
"2","003003","天元股份","10.0","11.66","57328722","1353767183.1200001","2061468178.0","4.234755039215088","100053294.0","092500","092500","0.0","2|2","2.0","包装材料","2025-04-21","涨停","","","","","","","",""
"3","002251","步步高","10.065646171569824","5.03","339767712","7612316771.68","13524159470.880001","4.475221157073975","141001327.0","092500","093057","1.0","1|1","1.0","商业百货","2025-04-21","涨停","","","","","","","",""
"4","300051","琏升科技","19.935691833496094","7.46","394096640","2727878915.9","2774946092.48","14.662627220153809","5946351.0","092500","141145","4.0","1|1","1.0","光伏设备","2025-04-21","涨停","","","","","","","",""
"5","600860","京城股份","10.035523414611816","12.39","60510282","5392517492.04","6785581541.76","1.1221156120300293","119067900.0","092501","092501","0.0","1|1","1.0","通用设备","2025-04-21","涨停","","","","","","","",""
"6","688313","仕佳光子","20.0","18.72","176303313","8588779580.16","8588779729.919999","2.0527167320251465","347359109.0","092502","092502","0.0","1|1","1.0","通信设备","2025-04-21","涨停","","","","","","","",""
"7","600865","百大集团","10.038986206054688","11.29","141886524","4247753167.64","4247753212.7999997","3.360139846801758","129367582.0","093016","093016","0.0","2|2","2.0","商业百货","2025-04-21","涨停","","","","","","","",""
"8","600794","保税科技","10.043667793273926","5.04","375486096","6048766871.28","6048766886.4","6.314444541931152","106618317.0","093033","093033","0.0","8|4","3.0","物流行业","2025-04-21","涨停","","","","","","","",""
"9","001316","润贝航科","10.002950668334961","37.28","77339478","1014286280.0","3074108800.0","7.764923095703125","41854256.0","093045","093045","0.0","3|2","1.0","贸易行业","2025-04-21","涨停","","","","","","","",""
"10","000965","天保基建","10.0","4.51","279843632","5005337336.45","5005337340.96","5.643319606781006","133275821.0","093054","093054","0.0","9|5","4.0","房地产开","2025-04-21","涨停","","","","","","","",""
"11","002868","绿康生化","10.028860092163086","15.25","38829183","2331215497.5","2370091514.25","1.6767561435699463","27408825.0","093057","093057","0.0","1|1","1.0","农药兽药","2025-04-21","涨停","","","","","","","",""
"12","000510","新金路","9.93914794921875","5.42","514634016","3288123308.14","3515106225.2799997","15.897174835205078","81992014.0","093057","093427","2.0","7|5","1.0","化学原料","2025-04-21","涨停","","","","","","","",""
"13","002279","久其软件","10.016155242919922","6.81","354057632","5378043246.69","5888247432.0","6.655972480773926","49002621.0","093106","093106","0.0","1|1","1.0","软件开发","2025-04-21","涨停","","","","","","","",""
"14","600391","航发科技","9.995869636535645","26.63","687186208","8791345043.21","8791344856.8","7.922009468078613","85474843.0","093113","093555","3.0","3|2","1.0","航天航空","2025-04-21","涨停","","","","","","","",""
"15","000862","银星能源","10.071942329406738","6.12","294060736","3843158578.56","5617882788.4800005","7.7110090255737305","57642235.0","093157","102215","1.0","1|1","1.0","电力行业","2025-04-21","涨停","","","","","","","",""
"16","603351","威尔药业","10.0","26.4","189939148","3575593084.7999997","3575593084.7999997","5.35884428024292","3562231.0","093204","094634","8.0","2|2","2.0","化学制药","2025-04-21","涨停","","","","","","","",""
"17","603042","华脉科技","10.014836311340332","14.83","542235504","2381547327.2","2381547327.2","23.11846160888672","51448236.0","093228","094819","4.0","2|2","2.0","通信设备","2025-04-21","涨停","","","","","","","",""
"18","600644","乐山电力","10.009354591369629","11.76","817078704","6331591749.84","6801052796.16","13.140957832336426","85051307.0","093230","094127","3.0","10|6","1.0","电力行业","2025-04-21","涨停","","","","","","","",""
"19","002809","红墙股份","10.02087688446045","10.54","630982560","1451728512.62","2215813828.64","44.435707092285156","8270527.0","093321","144727","11.0","3|3","3.0","化学制品","2025-04-21","涨停","","","","","","","",""
"20","002640","跨境通","10.115607261657715","3.81","520216240","5323236753.81","5936137459.68","9.968901634216309","154926792.0","093406","093406","0.0","8|4","1.0","贸易行业","2025-04-21","涨停","","","","","","","",""
"21","601086","国芳集团","9.991386413574219","12.77","690712944","8504820000.0","8504820000.0","8.285436630249023","88045319.0","093413","132613","5.0","12|11","4.0","商业百货","2025-04-21","涨停","","","","","","","",""
